eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
87,171,0.0733,85.6533,0.0238,correct
87,171,0.0733,85.3203,0.025,correct
87,172,0.0738,85.6785,0.0259,correct
87,171,0.0738,85.6533,0.0256,correct
87,171,0.0733,85.3203,0.0247,correct
87,171,0.0733,85.3203,0.0262,correct
87,171,0.0733,85.3203,0.0262,correct
87,171,0.0733,85.3203,0.0252,correct
87,171,0.0733,85.6533,0.0258,correct
87,171,0.0733,85.3203,0.0242,correct
87,171,0.0733,85.6533,0.0245,correct
87,171,0.0733,85.3203,0.025,correct
87,171,0.0733,85.6533,0.0246,correct
87,171,0.0733,85.6533,0.0244,correct
87,171,0.0733,85.3203,0.0234,correct
87,171,0.0733,85.3203,0.0251,correct
87,171,0.0733,85.6533,0.0246,correct
87,171,0.0733,85.6533,0.0244,correct
87,171,0.0733,85.3203,0.0246,correct
87,171,0.0733,85.9865,0.0249,correct
87,171,0.0733,85.6533,0.0245,correct
87,171,0.0733,85.6533,0.0247,correct
87,172,0.0738,85.6785,0.025,correct
87,171,0.0738,85.6533,0.024,correct
87,171,0.0733,85.6533,0.0254,correct
87,171,0.0733,85.6533,0.0251,correct
87,171,0.0733,85.6533,0.0238,correct
87,171,0.0733,85.6533,0.025,correct
87,171,0.0733,85.6533,0.0238,correct
87,172,0.0738,85.6785,0.024,correct
87,171,0.0738,85.6533,0.0243,correct
87,171,0.0733,85.6533,0.0243,correct
87,171,0.0733,85.6533,0.0251,correct
87,171,0.0738,85.6533,0.0249,correct
87,171,0.0738,85.6533,0.0241,correct
87,171,0.0738,85.6533,0.0236,correct
88,171,0.0738,85.6533,0.0245,correct
87,171,0.0733,85.6533,0.0254,correct
88,171,0.0733,85.6533,0.024,correct
87,171,0.0733,85.6533,0.0235,correct
88,171,0.0733,85.6533,0.0251,correct
87,171,0.0733,85.6533,0.0243,correct
87,171,0.0738,85.6533,0.024,correct
87,171,0.0733,85.6533,0.0247,correct
87,172,0.0738,85.6785,0.0241,correct
88,171,0.0733,85.6533,0.0248,correct
88,172,0.0738,85.6785,0.0239,correct
87,171,0.0733,85.6533,0.0251,correct
87,171,0.0738,85.6533,0.0228,correct
87,171,0.0733,85.6533,0.024,correct
87,171,0.0738,85.6533,0.0241,correct
87,172,0.0738,85.6785,0.0244,correct
87,171,0.0738,85.6533,0.0254,correct
87,171,0.0733,85.6533,0.0251,correct
87,171,0.0733,85.6533,0.0245,correct
87,172,0.0738,85.6785,0.0245,correct
83,161,0.067,85.7381,0.0074,correct
84,166,0.0701,86.2095,0.0163,correct
84,167,0.07,85.5496,0.0177,correct
84,168,0.0704,85.9151,0.0138,correct
85,168,0.071,85.9151,0.0183,correct
84,168,0.071,85.576,0.0165,correct
85,169,0.0714,85.9392,0.0168,correct
85,169,0.0714,85.9392,0.0151,correct
84,168,0.071,85.576,0.0153,correct
85,169,0.0714,85.2652,0.0173,correct
85,169,0.0714,85.602,0.0177,correct
84,169,0.0714,85.2652,0.0185,correct
84,168,0.0714,85.9151,0.0185,correct
84,169,0.0714,85.9392,0.0188,correct
84,169,0.0714,85.9392,0.0185,correct
84,169,0.0714,85.602,0.0189,correct
84,169,0.0714,85.602,0.0182,correct
84,169,0.0714,85.602,0.0187,correct
85,169,0.0714,85.602,0.0194,correct
84,170,0.0718,85.6278,0.0211,correct
84,170,0.0718,85.2929,0.0207,correct
85,169,0.0714,85.2652,0.0202,correct
84,169,0.0714,85.602,0.021,correct
84,170,0.0724,85.6278,0.0202,correct
84,170,0.0718,85.6278,0.0212,correct
85,170,0.0718,85.963,0.0208,correct
85,170,0.0724,85.6278,0.0222,correct
84,171,0.0722,85.6533,0.0203,correct
84,170,0.0718,85.6278,0.0195,correct
84,170,0.0718,85.963,0.0218,correct
85,170,0.0718,85.963,0.0214,correct
85,170,0.0718,85.963,0.0208,correct
85,170,0.0718,85.963,0.0204,correct
85,170,0.0718,85.6278,0.0206,correct
85,171,0.0722,85.6533,0.0222,correct
84,169,0.0714,85.2652,0.0225,correct
84,171,0.0728,85.9865,0.0207,correct
85,170,0.0718,85.6278,0.0201,correct
85,171,0.0728,85.9865,0.0202,correct
84,171,0.0722,85.9865,0.0217,correct
84,171,0.0722,85.9865,0.0207,correct
85,171,0.0722,85.9865,0.0217,correct
84,171,0.0722,85.9865,0.0191,correct
85,171,0.0722,85.6533,0.0219,correct
84,170,0.0718,85.963,0.0206,correct
84,170,0.0712,85.963,0.0224,correct
84,170,0.0724,85.6278,0.0224,correct
84,171,0.0717,85.6533,0.0223,correct
84,171,0.0722,85.9865,0.0195,correct
84,170,0.0724,85.6278,0.0214,correct
85,170,0.0718,85.6278,0.0206,correct
84,171,0.0718,85.9865,0.0217,correct
84,170,0.0718,85.6278,0.0221,correct
84,171,0.0718,85.6533,0.0203,correct
84,170,0.0718,85.6278,0.0221,correct
85,171,0.0722,85.9865,0.0216,correct
85,170,0.0718,85.963,0.0208,correct
85,170,0.0718,85.963,0.0208,correct
85,171,0.0718,85.9865,0.0214,correct
85,171,0.0718,85.9865,0.021,correct
85,170,0.0718,85.963,0.0214,correct
85,170,0.0718,85.963,0.0219,correct
85,170,0.0718,85.963,0.0213,correct
85,170,0.0718,85.963,0.0218,correct
85,170,0.0718,85.963,0.0224,correct
85,172,0.0726,86.0098,0.0216,correct
85,171,0.0718,85.9865,0.0212,correct
85,171,0.0722,85.9865,0.0215,correct
85,171,0.0722,85.9865,0.0214,correct
85,170,0.0718,85.963,0.0218,correct
85,170,0.0718,85.6278,0.0222,correct
84,171,0.0717,85.9865,0.0216,correct
84,170,0.0718,85.963,0.0215,correct
84,171,0.0722,85.9865,0.0216,correct
85,170,0.0718,85.963,0.0233,correct
84,171,0.0728,85.6533,0.0214,correct
