run_id,frame_idx,ts,eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
9a81a6ca,0,1756287965389,73,131,0.049,86.9419,-0.0858,head_up
9a81a6ca,1,1756287965449,74,143,0.054,85.602,-0.0739,head_up
9a81a6ca,2,1756287965481,75,147,0.0577,85.7213,-0.0715,head_up
9a81a6ca,3,1756287965518,75,149,0.0577,85.7785,-0.0704,head_up
9a81a6ca,4,1756287965541,76,148,0.0573,85.7501,-0.0736,head_up
9a81a6ca,5,1756287965570,75,148,0.0572,85.7501,-0.0709,head_up
9a81a6ca,6,1756287965604,74,149,0.0572,85.7785,-0.0709,head_up
9a81a6ca,7,1756287965637,74,148,0.0572,85.7501,-0.0716,head_up
9a81a6ca,8,1756287965671,75,148,0.0572,85.7501,-0.0707,head_up
9a81a6ca,9,1756287965709,75,148,0.0572,85.7501,-0.071,head_up
9a81a6ca,10,1756287965728,74,148,0.0572,85.7501,-0.0717,head_up
9a81a6ca,11,1756287965762,74,149,0.0572,85.7785,-0.0709,head_up
9a81a6ca,12,1756287965809,74,149,0.0572,85.7785,-0.0703,head_up
9a81a6ca,13,1756287965840,74,149,0.0581,85.7785,-0.0713,head_up
9a81a6ca,14,1756287965872,75,149,0.0577,85.3963,-0.0726,head_up
9a81a6ca,15,1756287965905,75,148,0.0577,85.3653,-0.073,head_up
9a81a6ca,16,1756287965941,75,148,0.0572,85.7501,-0.0727,head_up
9a81a6ca,17,1756287965974,75,149,0.0572,85.3963,-0.0703,head_up
9a81a6ca,18,1756287966009,75,149,0.0572,85.7785,-0.0694,head_up
9a81a6ca,19,1756287966036,75,148,0.0577,85.7501,-0.0694,head_up
9a81a6ca,20,1756287966059,75,148,0.0577,85.7501,-0.0686,head_up
9a81a6ca,21,1756287966096,75,148,0.0576,86.1352,-0.0687,head_up
9a81a6ca,22,1756287966149,75,149,0.0581,85.7785,-0.0703,head_up
9a81a6ca,23,1756287966182,75,149,0.0576,85.3963,-0.0702,head_up
9a81a6ca,24,1756287966208,75,149,0.0576,85.3963,-0.071,head_up
9a81a6ca,25,1756287966241,75,149,0.0581,85.3963,-0.0722,head_up
9a81a6ca,26,1756287966273,75,149,0.0576,85.7785,-0.0717,head_up
9a81a6ca,27,1756287966305,75,149,0.0576,85.7785,-0.0708,head_up
9a81a6ca,28,1756287966343,75,149,0.0581,85.3963,-0.0731,head_up
9a81a6ca,29,1756287966371,75,150,0.0586,85.4268,-0.0718,head_up
