run_id,frame_idx,ts,eye_distance_px,face_height_px,face_area_ratio,head_tilt_h,head_tilt_v,label
86cd8988,0,1756287201676,116,228,0.1288,85.2371,0.0694,too_close
86cd8988,1,1756287201730,117,229,0.1323,85.2578,0.0787,too_close
86cd8988,2,1756287201748,116,230,0.1322,85.2784,0.0794,too_close
86cd8988,3,1756287201785,116,231,0.1335,85.0525,0.0793,too_close
86cd8988,4,1756287201811,116,231,0.1329,85.2987,0.0809,too_close
86cd8988,5,1756287201847,116,230,0.1329,85.2784,0.0819,too_close
86cd8988,6,1756287201879,117,231,0.1335,85.0525,0.083,too_close
86cd8988,7,1756287201910,117,231,0.1342,85.2987,0.0827,too_close
86cd8988,8,1756287201945,116,231,0.1335,85.2987,0.0821,too_close
86cd8988,9,1756287201978,117,231,0.1342,85.0525,0.082,too_close
86cd8988,10,1756287202011,116,230,0.1329,85.2784,0.0807,too_close
86cd8988,11,1756287202039,116,230,0.1329,85.2784,0.0818,too_close
86cd8988,12,1756287202086,116,231,0.1329,85.2987,0.0804,too_close
86cd8988,13,1756287202115,117,231,0.1329,85.2987,0.0817,too_close
86cd8988,14,1756287202150,117,230,0.1329,85.2784,0.0798,too_close
86cd8988,15,1756287202183,117,231,0.1335,85.2987,0.0806,too_close
86cd8988,16,1756287202213,117,231,0.1329,85.2987,0.083,too_close
86cd8988,17,1756287202246,116,231,0.1329,85.2987,0.0814,too_close
86cd8988,18,1756287202283,117,230,0.1329,85.2784,0.0798,too_close
86cd8988,19,1756287202313,116,231,0.1329,85.2987,0.08,too_close
86cd8988,20,1756287202328,116,230,0.1329,85.2784,0.0814,too_close
86cd8988,21,1756287202343,116,230,0.1329,85.2784,0.0817,too_close
86cd8988,22,1756287202431,116,231,0.1322,85.2987,0.0805,too_close
86cd8988,23,1756287202458,116,230,0.1329,85.031,0.0818,too_close
86cd8988,24,1756287202494,116,230,0.1329,85.2784,0.0807,too_close
86cd8988,25,1756287202518,117,231,0.1329,85.0525,0.0799,too_close
86cd8988,26,1756287202556,117,231,0.1335,85.0525,0.0821,too_close
86cd8988,27,1756287202585,117,230,0.1323,85.2784,0.082,too_close
86cd8988,28,1756287202614,117,230,0.1329,85.2784,0.0825,too_close
86cd8988,29,1756287202654,117,231,0.1335,85.0525,0.0804,too_close
86cd8988,30,1756287202682,117,231,0.1329,85.0525,0.0801,too_close
86cd8988,31,1756287202713,117,230,0.1329,85.2784,0.0807,too_close
86cd8988,32,1756287202737,116,230,0.1329,85.5259,0.0806,too_close
86cd8988,33,1756287202760,116,230,0.1322,85.2784,0.0823,too_close
86cd8988,34,1756287202828,117,230,0.1329,85.031,0.0811,too_close
86cd8988,35,1756287202860,117,230,0.1329,85.2784,0.0813,too_close
86cd8988,36,1756287202892,117,230,0.1329,85.2784,0.0808,too_close
86cd8988,37,1756287202922,116,230,0.1322,85.2784,0.083,too_close
